service_type,department,division,position_number,job_title,total_pay,city,state
Human Resource Development,Human Services,"Leadership, Operations & IT",K073-002,Success Coach,60170,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-729,Head Teacher/Daycare,60147,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-728,Head Teacher/Daycare,60147,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C748-008,Meo II/Laborer/PWD,60144,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,M193-701,Ranger/Water,60123,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007264,Custodian Jr 1,60118,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000064,Custodian Jr 1,60118,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004639,Custodian Jr 1,60118,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000063,Custodian Jr 1,60118,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001875,Custodian Jr 1,60118,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004640,Custodian Jr 1,60118,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001866,Custodian Jr 1,60118,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,C469-028,Parking Control Officer,59866,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,W671-088,Water System Maint Crafts/Dist,59852,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,W671-086,Water System Maint Crafts/Dist,59852,Cambridge,MA
General Government,Finance,Revenue,C171-707,Sr Account Clerk,59852,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,W671-082,Water System Maint Crafts/Dist,59852,Cambridge,MA
Human Resource Development,Library,Main Library,C738-007,Building Custodian/Library,59766,Cambridge,MA
Human Resource Development,Human Services,Planning and Development,K133-001,HMIS Data and Training Spec.,59732,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-008,Emergency Telecom Dispatcher,59649,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C508-015,Emergency Telecom Dispatcher,59649,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004737,Youth Peer Mediation Prog Mgr,59642,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M427-711,Youth Center Program Director,59605,Cambridge,MA
Education,Cambridge Public Schools,Operations,00003344,Base Kitchen Supervisor,59573,Cambridge,MA
Community Maintenance and Development,Public Works,Parks,C323-016,Park Maint Crafts/MEO I,59500,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C727-024,Meo II,59486,Cambridge,MA
General Government,Law,Administration,C094-711,Admin Asst/Fisc/Gen/Bld/R,59419,Cambridge,MA
