service_type,department,division,position_number,job_title,total_pay,city,state
Education,Cambridge Public Schools,Elementary School Education,00004029,Teacher Special Educator,85500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005059,Teacher Special Educator,85464,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000902,Teacher,85398,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001805,Teacher,85398,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000646,Teacher,85398,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00007129,Teacher Special Educator,85398,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000494,Teacher,85398,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005328,Teacher,85398,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001400,Teacher Special Educator,85398,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,M138-701,King Preschool Director/Teache,85393,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,M143-701,King Open Preschool Dir/Teache,85393,Cambridge,MA
Human Resource Development,Human Services,Elderly Services & Council on Aging,M519-701,Sr Center Director,85369,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005427,Teacher,85297,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008357,Teacher,85296,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00007258,Language Assessment Specialist,85146,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00008324,Program Manager,85136,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000523,Teacher Special Educator,85086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004572,Sr Custodian-4,85054,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,C509-002,Emergency TeleCom Dispatch  II,84747,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000954,InstructionalSupportCoach,84629,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Street Management,M399-701,Communications Manager/TPT,84507,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,J904-701,Compliance Officer/DPW,84480,Cambridge,MA
Public Safety,Police,Criminal Investigations,M164-701,Victim Advocate,84458,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-114,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-206,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-111,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-026,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-103,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-175,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-183,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-020,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-197,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-045,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-124,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-121,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-075,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-009,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-071,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-015,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-016,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-201,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-042,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-104,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-065,Fire Fighter,84452,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-101,Fire Fighter,84452,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,C756-001,Wk.Sp/Tree Cl./Sp/MEO/Lic,84435,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,wkg Supv,Wk Sup Forestry Wkr/MEOIIA/Lic,84435,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,C757-001,Wk Sup Forestry Wkr/MEOIIA/Lic,84435,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,R504-002,Fire Apparatus Repair,84399,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,R504-001,Fire Apparatus Repair,84399,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,R504-004,Fire Apparatus Repair,84399,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-246,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-159,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-137,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-162,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-186,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-127,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-126,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-120,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-119,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-200,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-110,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-109,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-209,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-100,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-240,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-092,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-091,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-241,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-090,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-081,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-149,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-047,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-077,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-004,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-034,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-056,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-051,Fire Fighter,84390,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-046,Fire Fighter,84390,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,M523-701,Building Projects Coordinator,84376,Cambridge,MA
General Government,Human Resources,Administration,M069-001,Employee Relations Specialist,84376,Cambridge,MA
General Government,Human Resources,Administration,M199-001,Personnel Specialist,84376,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M270-703,DPW Sr Admin/Proj.Mgr.,84376,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M270-701,DPW Sr Admin/Proj.Mgr.,84376,Cambridge,MA
General Government,Human Resources,Administration,M644-001,Training/Development Specialist,84376,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M270-702,DPW Sr Admin/Proj.Mgr.,84376,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M905-701,Accounting Manager,84376,Cambridge,MA
Community Maintenance and Development,Water,Administration,M467-702,Fiscal Coordinator/Water,84376,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,M016-702,Admin Asst/Fire Dept,84376,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,M220-701,Building Serv. Administrator,84376,Cambridge,MA
Public Safety,Police,"Planning, Budget & Personnel",M272-702,Personnel Analyst,84376,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M339-001,Admin Asst/Permits/Pwd,84376,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001987,Secretary to Sr Admin (Non-Un),84200,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00001980,Secretary to Sr Admin (Non-Un),84200,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00001978,Secretary to Sr Admin (Non-Un),84200,Cambridge,MA
General Government,Law,Administration,M551-701,Asst Public Records Access Off,84182,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004180,SocialWorker/AdjustmentCounsel,84086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001427,Teacher Special Educator,84086,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001872,Sr Custodian-4,84082,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-097,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-058,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-150,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-145,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-117,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-059,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-128,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-063,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-142,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-135,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-158,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-044,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-066,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-247,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-239,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-196,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-187,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-221,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-212,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-036,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-173,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-078,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-167,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-153,Fire Fighter,84063,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-139,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-054,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-057,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-023,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-021,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-067,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-019,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-068,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-074,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-089,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-095,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-098,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-118,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-129,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-130,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-151,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-163,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-165,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-166,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-174,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-178,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-198,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-204,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-211,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-213,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-214,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-218,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-234,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-235,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-238,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-243,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-245,Fire Fighter,84015,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-050,Fire Fighter,84015,Cambridge,MA
Community Maintenance and Development,Public Works,Planning & Administration,M909-701,Energy & Sustainability Analys,84007,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001130,Speech/Language Pathologist,83992,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-164,Fire Fighter,83941,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-082,Fire Fighter,83941,Cambridge,MA
Community Maintenance and Development,Water,Administration,M249-001,Engineer/Water,83783,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000171,Technical Specialist-Theatre,83756,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-207,Fire Fighter,83752,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-037,Fire Fighter,83752,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-157,Fire Fighter,83752,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-017,Fire Fighter,83752,Cambridge,MA
Public Safety,License Commission,Administration,M006-001,Licensing Specialist /License,83732,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-053,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-202,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-138,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-140,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-160,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-076,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-156,Fire Fighter,83716,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-193,Fire Fighter,83716,Cambridge,MA
Human Resource Development,Human Services,Planning and Development,M447-701,HMIS Project Manager,83629,Cambridge,MA
Public Safety,Community Safety,Administration,M651-001,Program Coordinator,83583,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00002365,Clerk/Supervisor 2,83528,Cambridge,MA
Community Maintenance and Development,Community Development,Zoning and Development,M588-724,Assoc Planner,83507,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000687,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000640,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000642,Teacher Cooperative Education,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005512,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000658,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005165,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001801,Teacher/Staff Developer,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000684,Literacy Interventionist,83500,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005363,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004693,Teacher Library Media,83500,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005085,Teacher/Behavioral Specialist,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004674,Teacher Special Educator,83500,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001408,Teacher Special Educator,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004574,Teacher Special Educator,83500,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005578,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007157,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004380,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004442,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004088,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004657,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00003357,Teacher Special Educator,83500,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005585,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000574,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000971,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004107,Teacher,83500,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005097,Teacher,83500,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-011,Fire Fighter,83480,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-102,Fire Fighter,83479,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-079,Fire Fighter,83479,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-039,Fire Fighter,83479,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-133,Fire Fighter,83479,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-226,Fire Fighter,83479,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-052,Fire Fighter,83479,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-210,Fire Fighter,83479,Cambridge,MA
Human Resource Development,Library,Main Library,L408-715,Senior Librarian,83467,Cambridge,MA
Human Resource Development,Library,Main Library,L408-716,Senior Librarian,83467,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L410-705,Branch Manager,83467,Cambridge,MA
Human Resource Development,Library,Main Library,L408-710,Senior Librarian,83467,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L410-703,Branch Manager,83467,Cambridge,MA
Human Resource Development,Library,Main Library,L420-701,Graphic Designer,83467,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L410-707,Branch Manager,83467,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L408-708,Senior Librarian,83467,Cambridge,MA
Human Resource Development,Library,Main Library,L436-702,IT Senior Technician,83467,Cambridge,MA
Human Resource Development,Library,Main Library,L408-711,Senior Librarian,83467,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L427-701,Literacy Specialist,83467,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-171,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-008,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-106,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-108,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-115,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-181,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-189,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-208,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-222,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-237,Fire Fighter,83454,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-024,Fire Fighter,83285,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-043,Fire Fighter,83285,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000643,Teacher,83269,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-003,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-088,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-014,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-215,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-155,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-161,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-170,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-244,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-038,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-093,Fire Fighter,83267,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-027,Fire Fighter,83267,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,M545-001,Asst.Pkg Svc Mgr. for Oper.,83258,Cambridge,MA
Community Maintenance and Development,Water,Administration,W262-001,Cross Connection Supervisor,83257,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005437,Technology Support Technician,83170,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000147,Technology Support Technician,83170,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-031,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-035,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-233,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-029,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-132,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-005,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-105,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-061,Fire Fighter,83118,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F506-010,Fire Fighter,83118,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002302,Clerk Specialist,83067,Cambridge,MA
Human Resource Development,Library,Main Library,L408-709,Senior Librarian,83019,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004641,Sr Custodian-4,82782,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004593,Sr Custodian-4,82782,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004267,Sr Custodian-4,82782,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00008128,Sen Communications Specialist,82762,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,I212-009,Building Inspector,82727,Cambridge,MA
Human Resource Development,Library,Main Library,L408-706,Senior Librarian,82684,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,J904-702,Compliance Officer/DPW,82683,Cambridge,MA
Community Maintenance and Development,Public Works,Cemetery,C691-701,Working Supervisor Diesel/LIC,82623,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,C772-001,Working Supervisor HVAC Techn,82612,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,W657-001,Construction Inspector,82451,Cambridge,MA
Education,Cambridge Public Schools,Operations,00002116,HVAC Lead Technician,82429,Cambridge,MA
Community Maintenance and Development,Community Development,Zoning and Development,M588-729,Assoc Planner,82263,Cambridge,MA
Community Maintenance and Development,Community Development,Housing,M588-734,Assoc Planner,82159,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00002343,AP Coordinator / Buyer,82101,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000511,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005189,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000922,Teacher Library Media,82086,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000650,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005565,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000716,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000710,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000467,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005325,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008371,Teacher,82086,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008372,Teacher,82086,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,C697-701,W.S.High Main Crft MEOIIA/LIC,82070,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005333,Teacher,81992,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001829,Teacher,81992,Cambridge,MA
